Gold Label,words,m_label,covid,economic,education,environmental,foreign policy,governance,health,immigration,military,safety,social cultural,social programs
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,social programs","student,college,debt","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
social programs,social security,social programs,0,0,0,0,0,0,0,0,0,0,0,correct label
social programs,social security,social programs,0,0,0,0,0,0,0,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,"workers,fed",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
"health,social programs,economic","middle class,healthcare","economic,health",0,correct label,0,0,0,0,correct label,0,0,0,0,0
"environmental,governance,health,social programs,economic","health insurance,wealth tax,economic,tax,health,incomes,wealth","economic,health,social programs",0,correct label,0,0,0,0,correct label,0,0,0,0,correct label
"education,social cultural,social programs","black,loans,debt,default,student debt,borrowers,student,student debt crisis","education,social cultural,social programs",0,0,correct label,0,0,0,0,0,0,0,correct label,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"safety,economic","criminal justice,debt,middle income,criminal justice system,economy,criminal","economic,safety,social programs",0,correct label,0,0,0,0,0,0,0,correct label,0,debt
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
safety,gun,safety,0,0,0,0,0,0,0,0,0,correct label,0,0
safety,guns,safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,school,education,0,0,school,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
